iter	Logloss
0	0.6870952825
1	0.6817277629
2	0.6775988404
3	0.6717326144
4	0.6655744846
5	0.6605010415
6	0.6558700532
7	0.650409975
8	0.6453223187
9	0.640606005
10	0.6361243257
11	0.6334374181
12	0.6291907426
13	0.6248744243
14	0.622355613
15	0.6177265072
16	0.6153125214
17	0.6115942182
18	0.6089803212
19	0.604415319
20	0.6021981065
21	0.5999734722
22	0.5964048514
23	0.5920790971
24	0.5888308346
25	0.5852931613
26	0.5812367286
27	0.577688446
28	0.5736799839
29	0.5702967447
30	0.5664821772
31	0.5636158103
32	0.5619240115
33	0.5591580087
34	0.5554887016
35	0.5518179476
36	0.5493415817
37	0.5465143125
38	0.5443809936
39	0.5420550823
40	0.5406315383
41	0.5377117163
42	0.5348114167
43	0.5321558464
44	0.5292540405
45	0.5274998845
46	0.5254918075
47	0.5240021176
48	0.5219895349
49	0.5195081937
50	0.5173796006
51	0.5157801418
52	0.5133173479
53	0.511047573
54	0.5085710008
55	0.5058948351
56	0.5049028425
57	0.5022126937
58	0.5001362302
59	0.4988555956
60	0.4970025116
61	0.4957203716
62	0.4940691324
63	0.4921594404
64	0.4902534331
65	0.4883993024
66	0.4876007341
67	0.4868174799
68	0.4853859542
69	0.4843161594
70	0.4835749619
71	0.4828528538
72	0.4821445679
73	0.4814498344
74	0.4796331538
75	0.4780722477
76	0.4771397817
77	0.4757666339
78	0.4739985722
79	0.4720215264
80	0.4714256505
81	0.470619298
82	0.4689680081
83	0.4684080256
84	0.4667164611
85	0.4657511831
86	0.463970979
87	0.4630490039
88	0.4623773441
89	0.4617437935
90	0.4606065593
91	0.4598652038
92	0.458620905
93	0.4581680795
94	0.4571576859
95	0.4556206757
96	0.4542098051
97	0.4527663431
98	0.4516414642
99	0.4500545465
100	0.4493310215
101	0.4482331502
102	0.4472445443
103	0.4464690849
104	0.4459497607
105	0.4448719303
106	0.4437500588
107	0.4429557409
108	0.4422292692
109	0.4419088235
110	0.4409393848
111	0.4404165256
112	0.4396601159
113	0.4393092156
114	0.438186738
115	0.4375221232
116	0.4368846778
117	0.4362421004
118	0.4352322361
119	0.4344398071
120	0.4337719041
121	0.4333088542
122	0.4330647411
123	0.4318597941
124	0.4314516723
125	0.4310293067
126	0.4303121314
127	0.4298467898
128	0.4287927485
129	0.4283907624
130	0.4277907274
131	0.4274964153
132	0.4271197585
133	0.4267267612
134	0.4265361763
135	0.4260521113
136	0.4255000714
137	0.4247623106
138	0.4240225234
139	0.4231496194
140	0.4222155692
141	0.4220960995
142	0.4215303159
143	0.420899968
144	0.4201248205
145	0.4198031484
146	0.4194790893
147	0.4187996797
148	0.4183212899
149	0.4176329327
150	0.41685239
151	0.4162868798
152	0.4156174523
153	0.4154869576
154	0.4150632443
155	0.4144591493
156	0.4142462704
157	0.4137125419
158	0.4132374575
159	0.412766934
160	0.4124142812
161	0.4119138768
162	0.4118790776
163	0.4117702309
164	0.411555138
165	0.4111048377
166	0.4103228247
167	0.4096753959
168	0.4093114519
169	0.4086079112
170	0.4082366787
171	0.4077889418
172	0.4074009533
173	0.4070371268
174	0.4067754472
175	0.4061129302
176	0.406041931
177	0.4058821517
178	0.4052276233
179	0.4049829711
180	0.4044172659
181	0.403969851
182	0.4035797551
183	0.4029976547
184	0.4027502069
185	0.4020293716
186	0.4017601834
187	0.4014537863
188	0.4010480719
189	0.4006493767
190	0.4005027631
191	0.3999331292
192	0.399544615
193	0.3991566789
194	0.3988911755
195	0.3985451419
196	0.3985266632
197	0.3981568186
198	0.3979225996
199	0.3972870103
200	0.3972491345
201	0.3965992991
202	0.3961787679
203	0.3961012931
204	0.3957647774
205	0.3953701104
206	0.3951029158
207	0.3945318442
208	0.3944450918
209	0.39420704
210	0.3939364227
211	0.3938585369
212	0.3936888543
213	0.3933931207
214	0.3930842227
215	0.3926944608
216	0.3926289454
217	0.3921531808
218	0.3920465911
219	0.3918600841
220	0.3917767552
221	0.3915143815
222	0.3912985017
223	0.3909881493
224	0.3908022047
225	0.3906194526
226	0.390450813
227	0.3901860958
228	0.3898711769
229	0.3895341027
230	0.3894863596
231	0.3891262449
232	0.3887625383
233	0.3885700097
234	0.3885485071
235	0.3883025452
236	0.3881521564
237	0.3879495314
238	0.3876871813
239	0.3874454551
240	0.3870657505
241	0.386930375
242	0.3867186419
243	0.3864394812
244	0.3862864336
245	0.3860720152
246	0.3856655889
247	0.3855369985
248	0.3853529324
249	0.3850957991
250	0.3848452784
251	0.3846170321
252	0.384484472
253	0.3843822863
254	0.3841395628
255	0.3839402372
256	0.3835602273
257	0.3832228649
258	0.3828531531
259	0.3824624082
260	0.382148113
261	0.3820041716
262	0.3818841585
263	0.381646487
264	0.3814593354
265	0.3812483739
266	0.3811023179
267	0.3809725401
268	0.3804283852
269	0.3802819341
270	0.3802539535
271	0.3800717179
272	0.3799110846
273	0.379736418
274	0.3795953167
275	0.3791338793
276	0.3789984168
277	0.3788260042
278	0.3786994363
279	0.3785114376
280	0.3783075984
281	0.3779866228
282	0.3778872278
283	0.3776156624
284	0.3774349873
285	0.3773506136
286	0.3771340011
287	0.3770091477
288	0.3769129524
289	0.3765478578
290	0.3765449103
291	0.3763140422
292	0.3761258861
293	0.3757798339
294	0.3755378675
295	0.3755352513
296	0.3754381395
297	0.3753614187
298	0.3751092838
299	0.3750160076
300	0.3747760429
301	0.3745734919
302	0.3743208509
303	0.373879616
304	0.3736250253
305	0.3736228601
306	0.3732968219
307	0.373274351
308	0.3730625875
309	0.3729036376
310	0.3728476482
311	0.3728365102
312	0.3727016343
313	0.3726870179
314	0.3725827423
315	0.3723026091
316	0.3721874069
317	0.3719937431
318	0.3719833245
319	0.3719509247
320	0.371679293
321	0.3712731024
322	0.3711260211
323	0.3710529719
324	0.3708963122
325	0.3705479803
326	0.3705421264
327	0.370532717
328	0.3702896803
329	0.3701556944
330	0.3699424655
331	0.3697174856
332	0.3696328308
333	0.3693834875
334	0.3692734644
335	0.3692683738
336	0.3690512829
337	0.3689347895
338	0.3687852736
339	0.3686906369
340	0.3685908161
341	0.3684870972
342	0.3683830342
343	0.3682471291
344	0.36820738
345	0.368195626
346	0.3681690065
347	0.3679863353
348	0.3678105561
349	0.367796938
350	0.3674322549
351	0.3674312346
352	0.3674303968
353	0.3672403304
354	0.3671793022
355	0.3670648336
356	0.3669881546
357	0.3668919899
358	0.3667372895
359	0.3667366096
360	0.3665977075
361	0.3663986915
362	0.3663340601
363	0.3662904754
364	0.3661189871
365	0.3658535703
366	0.3657630936
367	0.3656054056
368	0.3654818433
369	0.3653040877
370	0.3652610209
371	0.3652089606
372	0.3650706858
373	0.3647399115
374	0.3647207149
375	0.364596815
376	0.3644032848
377	0.3643655706
378	0.3642936338
379	0.3642904668
380	0.364176914
381	0.3639949069
382	0.3638701294
383	0.3636723205
384	0.3635979741
385	0.3635602056
386	0.3634287262
387	0.3633744818
388	0.3633488269
389	0.3632703805
390	0.3631655772
391	0.3630752782
392	0.362941536
393	0.3629411698
394	0.3627533192
395	0.3626901309
396	0.3626317598
397	0.3625485729
398	0.3625038521
399	0.3623925981
400	0.3621632784
401	0.362133002
402	0.3619774812
403	0.361970486
404	0.3618504248
405	0.3617794354
406	0.3615094131
407	0.3613496773
408	0.3612471035
409	0.3609881558
410	0.3608092993
411	0.3607506054
412	0.3606936691
413	0.360599176
414	0.3605987108
415	0.3605492686
416	0.3604675959
417	0.3603399762
418	0.3603321915
419	0.3602676171
420	0.3602674086
421	0.3600607275
422	0.3600480723
423	0.360030245
424	0.3598920055
425	0.3598918635
426	0.3598138967
427	0.3596345081
428	0.3595235157
429	0.359392358
430	0.3593922291
431	0.359335216
432	0.3592267776
433	0.3592009565
434	0.3591117505
435	0.3588594074
436	0.3588284591
437	0.3586564796
438	0.3584805207
439	0.3583216972
440	0.3581433766
441	0.3580554571
